No tarea,tipo,Territorio,Gestor,Estado,Localidad,folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,folio,FCO,dias
2,Libre,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,-,-,En Abril Upaxer te regala gasolina 2020,462,E10438_BP Pabellón,,173121,LIBRE,31/03/2020,14:11:55,1154480,22.147364,-102.29391,-,-,2
2,Libre,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,-,-,En Abril Upaxer te regala gasolina 2020,463,E10080_BP Tepezalá,,173122,LIBRE,31/03/2020,14:11:55,1154481,22.170259,-102.246298,-,-,2
2,Libre,Occidente,Occidente 1,AGUASCALIENTES,CALVILLO,-,-,En Abril Upaxer te regala gasolina 2020,433,E03666_BP Calvillo,,166113,LIBRE,31/03/2020,14:11:55,1154446,21.854326,-102.694872,-,-,2
2,Libre,Occidente,Occidente 1,AGUASCALIENTES,CALVILLO,-,-,En Abril Upaxer te regala gasolina 2020,452,E11206_BP Jaltiche,,170788,LIBRE,31/03/2020,14:11:55,1154470,21.776794,-102.80259,-,-,2
1,Libre,Occidente,Occidente 1,AGUASCALIENTES,PABELLON DE ARTEAGA,200300654,24/04/2020,Durante ABRIL recorre los pasillos de un Minisuper y gana dinero,2866,2866 - Tienda Neto-Pabellon De Arteaga,,12165,LIBRE,30/03/2020,11:19:34,1152036,22.146035,-102.27557,200300654,24/04/2020,3
2,Libre,Occidente,Occidente 1,AGUASCALIENTES,RINCON DE ROMOS,-,-,En Abril Upaxer te regala gasolina 2020,441,E09826_BP Rincón de los Romo,,166121,LIBRE,31/03/2020,14:11:55,1154460,22.179008,-102.295989,-,-,2
1,Libre,Occidente,Occidente 1,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,200300654,24/04/2020,Durante ABRIL recorre los pasillos de un Minisuper y gana dinero,403,San Francisco_Neto,,173541,LIBRE,30/03/2020,11:19:36,1152295,22.077949,-102.27271,200300654,24/04/2020,3
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,362,E05194_BP Coral,,158593,LIBRE,31/03/2020,14:11:55,1154392,31.864649,-116.60696,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,487,EA0045_BP San Quintín Sur,,174307,LIBRE,31/03/2020,14:11:55,1154504,30.550228,-115.938516,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,493,EA0007_BP Maneadero,,176037,LIBRE,31/03/2020,14:11:55,1154508,31.728337,-116.577772,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,511,EA0044_BP San Quintín Norte,,179100,LIBRE,31/03/2020,14:11:56,1154525,30.730201,-115.991436,-,-,2
2,Libre,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,52,E12105_BP Playitas,,158408,LIBRE,31/03/2020,14:11:56,1154532,31.870077,-116.67581,-,-,2
