No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1342,BA EKT AGUASCALIENTES 2 ASUNCION (1342),PAX2448,120554,TOMADA POR USUARIO,01/04/2020,15:11:52,1153181,21.849482,-102.293677,200300661,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1769,DAZ SAN FRANCISCO DE LOS ROMO,PAX287,68616,TOMADA POR USUARIO,01/04/2020,14:37:04,1154029,22.07375,-102.27196,200300661,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6544,BA EKT AGUASCALIENTES CONVENCION (6544),PAX287,118904,TOMADA POR USUARIO,01/04/2020,14:37:38,1153545,21.891547,-102.275199,200300661,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9380,BA EKT AGUASCALIENTES SIGLO XXI (9380),PAX9825,118905,TOMADA POR USUARIO,01/04/2020,16:28:17,1153636,21.886744,-102.250066,200300661,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9744,BA MEGA GANDHI AGUASCALIENTES (9744),PAX2448,121334,TOMADA POR USUARIO,01/04/2020,15:13:06,1153725,21.858334,-102.29492,200300661,24/04/2020,1
2,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,-,-,En Abril Upaxer te regala gasolina 2020,434,E01104_BP Las Américas,PAX522,166114,TOMADA POR USUARIO,01/04/2020,15:39:53,1154447,21.866229,-102.300782,-,-,1
2,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,-,-,En Abril Upaxer te regala gasolina 2020,438,E04527_BP La Feria,PAX522,166118,TOMADA POR USUARIO,01/04/2020,15:39:38,1154454,21.873492,-102.31216,-,-,1
2,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,-,-,En Abril Upaxer te regala gasolina 2020,458,E11526_BP Tercer Anillo,PAX522,173117,TOMADA POR USUARIO,01/04/2020,15:40:24,1154475,21.86207,-102.2481,-,-,1
2,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,-,-,En Abril Upaxer te regala gasolina 2020,461,E13039_BP Ribier,PAX522,173120,TOMADA POR USUARIO,01/04/2020,15:47:30,1154479,21.97289,-102.2892,-,-,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,AGUASCALIENTES,200100123,05/04/2020,Gana dinero pidiendo información de un producto del banco_1,9744,BA MEGA GANDHI AGUASCALIENTES,PAX2448,82612,TOMADA POR USUARIO,31/03/2020,12:19:15,1153087,21.859255,-102.29474,200100123,05/04/2020,2
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,ASIENTOS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2780,BA MEGA PABELLON DE ARTEAGA,PAX9825,174319,TOMADA POR USUARIO,01/04/2020,16:26:45,1154038,22.147587,-102.27762,200300661,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,ASIENTOS,200100125,05/04/2020,Haz un trámite en la caja del banco y gana dinero_1,2780,BA MEGA PABELLON DE ARTEAGA,PAX287,174319,TOMADA POR USUARIO,31/03/2020,12:19:04,1153085,22.147587,-102.27762,200100125,05/04/2020,2
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,CALVILLO,200300654,24/04/2020,Durante ABRIL recorre los pasillos de un Minisuper y gana dinero,110,Benito Juarez Centro,PAX9825,179040,TOMADA POR USUARIO,01/04/2020,16:30:27,1151828,21.885538,-102.296781,200300654,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,CALVILLO,200100123,05/04/2020,Gana dinero pidiendo información de un producto del banco_1,1504,BA EKT AGUASCALIENTES 1 ALLENDE,PAX2448,69418,ASIGNADA POR SISTEMA,31/03/2020,12:34:36,1153086,21.882076,-102.296915,200100123,05/04/2020,2
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,JESUS MARIA,200300654,24/04/2020,Durante ABRIL recorre los pasillos de un Minisuper y gana dinero,2794,2794 - Tienda Neto-Jesus Maria,PAX522,11664,TOMADA POR USUARIO,01/04/2020,15:47:07,1152002,21.961826,-102.343025,200300654,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,JESUS MARIA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,8504,BA EKT JESUS MARIA AGS (8504),PAX85569,120868,TOMADA POR USUARIO,02/04/2020,07:02:52,1153620,21.960916,-102.344147,200300661,24/04/2020,0
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,RINCON DE ROMOS,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2212,BA EKT AGS RINCON DE ROMOS (2212),PAX287,118906,TOMADA POR USUARIO,01/04/2020,14:36:14,1153290,22.232248,-102.320766,200300661,24/04/2020,1
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,RINCON DE ROMOS,200100123,05/04/2020,Gana dinero pidiendo información de un crédito del banco_1,2212,BA EKT AGS RINCON DE ROMOS,PAX2448,69422,ASIGNADA POR SISTEMA,31/03/2020,12:35:19,1153088,22.232248,-102.32076,200100123,05/04/2020,2
1,Sin Terminar,Occidente,Occidente 1,AGUASCALIENTES,RINCON DE ROMOS,200100125,05/04/2020,Haz un trámite en la caja del banco y gana dinero_1,2212,BA EKT AGS RINCON DE ROMOS,PAX287,69422,TOMADA POR USUARIO,31/03/2020,12:19:23,1153084,22.232248,-102.32076,200100125,05/04/2020,2
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2048,BA EKT ENSENADA BLVD REFORMA (2048),PAX86154,118827,TOMADA POR USUARIO,01/04/2020,12:53:31,1153236,31.840582,-116.602299,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5445,BA MEGA ENSENADA (5445),PAX86154,118819,TOMADA POR USUARIO,01/04/2020,12:52:46,1153455,31.86648,-116.625071,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5940,BA MEGA ENSENADA JUAREZ (5940),PAX86154,118820,TOMADA POR USUARIO,01/04/2020,12:53:05,1153489,31.868516,-116.626577,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6248,DAZ ENSENADA CHAPULTEPEC (6248),PAX86154,120782,TOMADA POR USUARIO,01/04/2020,12:53:50,1153952,31.782699,-116.586122,200300661,24/04/2020,1
2,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,153,E06921_BP Reforma,PAX65947,158460,TOMADA POR USUARIO,01/04/2020,19:42:36,1154191,31.837509,-116.601584,-,-,1
2,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,44,E12955_BP Costero,PAX65947,158402,TOMADA POR USUARIO,01/04/2020,19:42:56,1154458,31.844167,-116.612555,-,-,1
2,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,60,E11966_BP Loyola,PAX65947,158412,TOMADA POR USUARIO,01/04/2020,19:43:10,1154549,31.844563,-116.607834,-,-,1
2,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,ENSENADA,-,-,En Abril Upaxer te regala gasolina 2020,65,E12106_BP Joker,PAX65947,158415,TOMADA POR USUARIO,01/04/2020,19:42:20,1154554,31.804453,-116.59419,-,-,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,MEXICALI,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,2006,BA EKT MEXICALI SANTA BARBARA (2006),PAX117321,118912,TOMADA POR USUARIO,01/04/2020,18:12:43,1153225,32.644985,-115.52021,200300661,24/04/2020,1
1,Sin Terminar,Pacífico,Pacífico 1,BAJA CALIFORNIA,TIJUANA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,120,BA MEGA TIJUANA OTAY (120),PAX115705,118815,TOMADA POR USUARIO,01/04/2020,14:10:41,1153177,32.535952,-116.932236,200300661,24/04/2020,1
