No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
1,Sin Terminar,Occidente,Norma Maruri,AGUASCALIENTES,AGUASCALIENTES,19120035,20/12/2019,En Diciembre y Enero recorre los pasillos de una tienda departamental,9744,BA MEGA GANDHI AGUASCALIENTES,PAX115801,82612,TOMADA POR USUARIO,09/12/2019,04:46:44,1087447,21.859255,-102.29474,19120035,20/12/2019,1
2,Sin Terminar,Occidente,Norma Maruri,AGUASCALIENTES,AGUASCALIENTES,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,GNTAGSN02,GNT - INDEPENDENCIA 2351,PAX77217,61289,ASIGNADA POR SISTEMA,10/12/2019,12:17:18,1087113,21.92379,-102.293985,19102161,20/12/2019,0
1,Sin Terminar,Occidente,Norma Maruri,AGUASCALIENTES,SAN FRANCISCO DE LOS ROMO,19102119,28/10/2019,Supervisa y gana dinero en una casa de empeño Bajio 4-2019,1769,PRESTA PRENDA SAN FCO DE LOS ROMO,PAX87061,177965,ASIGNADA POR SISTEMA,04/12/2019,19:12:26,1085476,22.07375,-102.27196,19102119,28/10/2019,6
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,,POS BC SAN PEDRO,PAX3863,176792,ASIGNADA POR SISTEMA,05/12/2019,11:11:25,1084401,32.656824,-115.41341,19102161,20/12/2019,5
3,Sin Terminar,Norte,Isai ,BAJA CALIFORNIA,MEXICALI,19071665,30/09/2019,Este año sé El Motociclista Misterioso,4500,4500-MOTOSERVICIO YOMERO,PAX82274,106080,ASIGNADA POR SISTEMA,06/12/2019,19:43:09,1077093,32.616474,-115.510025,19071665,30/09/2019,4
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,86,E11024_BP Terán,PAX3863,158427,ASIGNADA POR SISTEMA,10/12/2019,12:41:34,1082111,32.61353,-115.51478,19112383,20/12/2019,0
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,87,E11055_BP Puebla,PAX3863,158428,ASIGNADA POR SISTEMA,09/12/2019,19:27:28,1082112,32.56965,-115.33946,19112383,20/12/2019,1
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,91,E12584_BP Islas Agrarias,PAX3863,158429,ASIGNADA POR SISTEMA,07/12/2019,14:11:52,1085098,32.6138,-115.38198,19112383,20/12/2019,3
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19112383,20/12/2019,Este Diciembre Upaxer te regala gasolina,97,E12861_BP Portales,PAX3863,158434,TOMADA POR USUARIO,09/12/2019,17:55:03,1082123,32.595818,-115.4931,19112383,20/12/2019,1
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19100079,20/12/2019,Gana dinero pidiendo información de un crédito en un banco 4-2019,2046,BA EKT MEXICALI VALLE DEL PEDREGAL,PAX82274,69308,ASIGNADA POR SISTEMA,09/12/2019,13:17:19,1073542,32.578364,-115.360266,19100079,20/12/2019,1
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19100095,20/12/2019,Realiza un retiro de cuenta y cambia un billete y di que tienes un Billete que se siente diferente,3252,DAZ CENTRO CIVICO MEXICALI,PAX82274,70791,ASIGNADA POR SISTEMA,10/12/2019,10:49:53,1088839,32.638371,-115.470946,19100095,20/12/2019,0
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,MEXICALI,19100095,20/12/2019,Realiza una recarga y cambia un billete y di que tienes un Billete de 200 que se quemo,2046,BA EKT MEXICALI VALLE DEL PEDREGAL,PAX82274,69308,ASIGNADA POR SISTEMA,09/12/2019,13:17:58,1079362,32.578364,-115.360266,19100095,20/12/2019,1
3,Sin Terminar,Norte,Isai ,BAJA CALIFORNIA,TECATE,19071665,30/09/2019,Este año sé El Motociclista Misterioso,3852,3852-RECONSTRUCTORA AUTOMOTRIZ CONTRERAS,PAX98655,106367,ASIGNADA POR SISTEMA,04/12/2019,18:54:43,1009026,32.56552,-116.648983,19071665,30/09/2019,6
1,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19120048,20/12/2019,En Diciembre descubre cuánto vale tu prenda de Oro,2005,BA EKT TIJUANA CUCAPAH (2005),PAX45874,118817,ASIGNADA POR SISTEMA,09/12/2019,17:37:58,1088049,32.513353,-116.869967,19120048,20/12/2019,1
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,CAP_TIJ_BAJ_004,CAP AGUA CALIENTE TIJ,PAX61255,61635,TOMADA POR USUARIO,09/12/2019,15:44:50,1058281,32.51361,-117.00497,19102161,20/12/2019,1
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,,EXP LAS FUENTES,PAX61255,167688,TOMADA POR USUARIO,10/12/2019,08:26:02,1074471,32.466311,-116.8626,19102161,20/12/2019,0
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,,G2T PLAZA AEROPUERTO,PAX61255,167714,TOMADA POR USUARIO,09/12/2019,18:35:19,1081342,32.541264,-116.996853,19102161,20/12/2019,1
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,KSK_TIJ_NOR_004,KSK TIJUANA PLAZA SENDERO,PAX115705,62176,TOMADA POR USUARIO,10/12/2019,12:28:32,1087418,32.454834,-116.838425,19102161,20/12/2019,0
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,TDA_TIJ_PLZ_003,TDA TIJUANA PLAZA SENDERO,PAX115705,62268,TOMADA POR USUARIO,10/12/2019,12:36:03,1086188,32.456626,-116.835784,19102161,20/12/2019,0
2,Sin Terminar,Norte,Mariana Hernandez,BAJA CALIFORNIA,TIJUANA,19102161,20/12/2019,En Octubre conoce los productos que se ofrecen en tiendas de telefonía,UNOTIJN11,UNO PLAZA 2000 TIJ,PAX61255,61224,TOMADA POR USUARIO,10/12/2019,08:26:20,1079402,32.492401,-116.851517,19102161,20/12/2019,0
