id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores
102127,PAX 102127,1. Naranja [dos trimestres],8.90969563,-79.69475833,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
103712,PAX 103712,1. Naranja [dos trimestres],47.6019,-122.6299,OCT [2019],4Q 2019,Activos,MS Pago en último semestre
103966,PAX 103966,1. Naranja [dos trimestres],47.6029,-122.6299,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
91646,PAX 91646,1. Naranja [dos trimestres],45.4446,-122.5372,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
57478,PAX 57478,1. Naranja [dos trimestres],37.3764,-122.0238,OCT [2019],4Q 2019,Activos,MS Pago en último semestre
75235,PAX 75235,1. Naranja [dos trimestres],37.2803,-121.9539,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
92928,PAX 92928,1. Naranja [dos trimestres],34.0622,-118.2763,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
66514,PAX 66514,1. Naranja [dos trimestres],33.8045,-118.1876,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
88284,PAX 88284,1. Naranja [dos trimestres],32.52688152,-117.1030471,OCT [2019],4Q 2019,Activos,MS Pago en último semestre
115705,PAX 115705,1. Naranja [dos trimestres],32.52468048,-117.0452781,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
46140,PAX 46140,1. Naranja [dos trimestres],32.52054786,-117.0182061,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
99869,PAX 99869,1. Naranja [dos trimestres],32.47888484,-117.0166996,OCT [2019],4Q 2019,Activos,MS Pago en último semestre
102084,PAX 102084,1. Naranja [dos trimestres],32.49232089,-117.0124643,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
106285,PAX 106285,1. Naranja [dos trimestres],32.42217265,-116.9618926,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
83194,PAX 83194,1. Naranja [dos trimestres],32.42317265,-116.9608926,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
117270,PAX 117270,1. Naranja [dos trimestres],32.4222066,-116.93709,ENE [2020],1Q 2020,Activos,MS Pago en último semestre
57743,PAX 57743,1. Naranja [dos trimestres],32.50074264,-116.880863,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
107823,PAX 107823,1. Naranja [dos trimestres],32.51846775,-116.8607485,FEB [2020],1Q 2020,Activos,MS Pago en último semestre
88132,PAX 88132,1. Naranja [dos trimestres],31.88293183,-116.6078726,FEB [2020],1Q 2020,Activos,MS Pago en último semestre
65947,PAX 65947,1. Naranja [dos trimestres],31.78907883,-116.5861733,OCT [2019],4Q 2019,Activos,MS Pago en último semestre
101703,PAX 101703,1. Naranja [dos trimestres],31.79007883,-116.5851733,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
93279,PAX 93279,1. Naranja [dos trimestres],31.79107883,-116.5841733,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
116920,PAX 116920,1. Naranja [dos trimestres],31.71171962,-116.5587526,ENE [2020],1Q 2020,Activos,MS Pago en último semestre
92711,PAX 92711,1. Naranja [dos trimestres],32.59833697,-115.5091891,OCT [2019],4Q 2019,Activos,MS Pago en último semestre
83215,PAX 83215,1. Naranja [dos trimestres],32.59933697,-115.5081891,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
117321,PAX 117321,1. Naranja [dos trimestres],32.64523294,-115.4937994,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
91251,PAX 91251,1. Naranja [dos trimestres],32.58548233,-115.3681261,OCT [2019],4Q 2019,Activos,MS Pago en último semestre
82274,PAX 82274,1. Naranja [dos trimestres],32.56108566,-115.2982256,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
90248,PAX 90248,1. Naranja [dos trimestres],36.0811,-115.2169,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
106414,PAX 106414,1. Naranja [dos trimestres],32.45538183,-114.7523985,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
70798,PAX 70798,1. Naranja [dos trimestres],31.31856804,-113.531486,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
106645,PAX 106645,1. Naranja [dos trimestres],31.31956804,-113.530486,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
105044,PAX 105044,1. Naranja [dos trimestres],31.32491729,-113.5121386,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
61135,PAX 61135,1. Naranja [dos trimestres],30.71333771,-112.1748976,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
77313,PAX 77313,1. Naranja [dos trimestres],30.73144658,-112.1604443,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
74166,PAX 74166,1. Naranja [dos trimestres],30.70003056,-112.148208,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
14865,PAX 14865,1. Naranja [dos trimestres],29.0860525,-111.041027,SEP [2019],3Q 2019,Activos,MS Pago en último semestre
120647,PAX 120647,1. Naranja [dos trimestres],29.13952245,-110.9877924,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
108104,PAX 108104,1. Naranja [dos trimestres],29.14341573,-110.9863376,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
105918,PAX 105918,1. Naranja [dos trimestres],29.0839099,-110.9861509,ENE [2020],1Q 2020,Activos,MS Pago en último semestre
105247,PAX 105247,1. Naranja [dos trimestres],29.0849099,-110.9851509,FEB [2020],1Q 2020,Activos,MS Pago en último semestre
104645,PAX 104645,1. Naranja [dos trimestres],29.0859099,-110.9841509,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
103549,PAX 103549,1. Naranja [dos trimestres],29.06062055,-110.9757228,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
115756,PAX 115756,1. Naranja [dos trimestres],29.0981066,-110.9647769,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
107246,PAX 107246,1. Naranja [dos trimestres],30.62892179,-110.9643184,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
106940,PAX 106940,1. Naranja [dos trimestres],30.62992179,-110.9633184,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
106228,PAX 106228,1. Naranja [dos trimestres],30.63092179,-110.9623184,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
104544,PAX 104544,1. Naranja [dos trimestres],31.31336824,-110.9524548,ENE [2020],1Q 2020,Activos,MS Pago en último semestre
100227,PAX 100227,1. Naranja [dos trimestres],31.28100021,-110.9519575,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
103858,PAX 103858,1. Naranja [dos trimestres],29.07090805,-110.9377743,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
86740,PAX 86740,1. Naranja [dos trimestres],31.3005987,-110.9101679,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
32821,PAX 32821,1. Naranja [dos trimestres],27.93651147,-110.8812897,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
43194,PAX 43194,1. Naranja [dos trimestres],24.14288148,-110.3318527,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
117483,PAX 117483,1. Naranja [dos trimestres],24.09925542,-110.3212956,ENE [2020],1Q 2020,Activos,MS Pago en último semestre
108889,PAX 108889,1. Naranja [dos trimestres],24.14859461,-110.3143907,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
117197,PAX 117197,1. Naranja [dos trimestres],24.09118082,-110.3143005,FEB [2020],1Q 2020,Activos,MS Pago en último semestre
101965,PAX 101965,1. Naranja [dos trimestres],24.10364873,-110.309989,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
51689,PAX 51689,1. Naranja [dos trimestres],30.98384224,-110.2952504,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
115778,PAX 115778,1. Naranja [dos trimestres],27.4766713,-109.9537862,ENE [2020],1Q 2020,Activos,MS Pago en último semestre
91128,PAX 91128,1. Naranja [dos trimestres],22.9075762,-109.953737,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
108718,PAX 108718,1. Naranja [dos trimestres],27.51170134,-109.9507465,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
65910,PAX 65910,1. Naranja [dos trimestres],27.45344298,-109.9464234,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
107841,PAX 107841,1. Naranja [dos trimestres],27.4400548,-109.9269832,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
106363,PAX 106363,1. Naranja [dos trimestres],23.06924625,-109.711818,NOV [2019],4Q 2019,Activos,MS Pago en último semestre
96188,PAX 96188,1. Naranja [dos trimestres],30.37173,-109.6932233,FEB [2020],1Q 2020,Activos,MS Pago en último semestre
74839,PAX 74839,1. Naranja [dos trimestres],25.79683637,-109.0063106,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
105543,PAX 105543,1. Naranja [dos trimestres],27.02678936,-108.9377738,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
12101,PAX 12101,1. Naranja [dos trimestres],25.43782927,-108.0641494,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
94131,PAX 94131,1. Naranja [dos trimestres],30.40031071,-107.9064536,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
103687,PAX 103687,1. Naranja [dos trimestres],30.38586105,-107.8795571,ENE [2020],1Q 2020,Activos,MS Pago en último semestre
105456,PAX 105456,1. Naranja [dos trimestres],24.81840506,-107.4760772,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
101273,PAX 101273,1. Naranja [dos trimestres],24.80663181,-107.4491504,SEP [2019],3Q 2019,Activos,MS Pago en último semestre
105712,PAX 105712,1. Naranja [dos trimestres],24.83600381,-107.4211903,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
120882,PAX 120882,1. Naranja [dos trimestres],24.83700381,-107.4201903,MAR [2020],1Q 2020,Activos,MS Pago en último semestre
102082,PAX 102082,1. Naranja [dos trimestres],24.8350347,-107.3912966,DIC [2019],4Q 2019,Activos,MS Pago en último semestre
