id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores,c,p
121339,PAX 121339,Verde [< 180 Días],37.7058,-122.4619,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,94016,ESTADOS UNIDOS
115729,PAX 115729,Verde [< 180 Días],37.7812,-122.4614,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,94118,ESTADOS UNIDOS
107875,PAX 107875,Verde [< 180 Días],37.5735,-122.3225,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,94401,ESTADOS UNIDOS
107138,PAX 107138,Verde [< 180 Días],37.9156,-122.2985,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,94530,ESTADOS UNIDOS
109408,PAX 109408,Verde [< 180 Días],47.4924,-122.2359,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,98178,ESTADOS UNIDOS
108682,PAX 108682,Verde [< 180 Días],37.418,-122.1274,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,94306,ESTADOS UNIDOS
106126,PAX 106126,Verde [< 180 Días],37.2813,-121.9529,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,95008,ESTADOS UNIDOS
106547,PAX 106547,Verde [< 180 Días],37.5176,-121.9287,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,94539,ESTADOS UNIDOS
108943,PAX 108943,Verde [< 180 Días],38.5091,-121.4935,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,95822,ESTADOS UNIDOS
108742,PAX 108742,Verde [< 180 Días],38.5178,-121.4419,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,95824,ESTADOS UNIDOS
108658,PAX 108658,Verde [< 180 Días],38.4243,-121.437,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,95758,ESTADOS UNIDOS
120494,PAX 120494,Verde [< 180 Días],36.3551,-119.301,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,93291,ESTADOS UNIDOS
116793,PAX 116793,Verde [< 180 Días],34.0176,-118.4907,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90401,ESTADOS UNIDOS
120853,PAX 120853,Verde [< 180 Días],34.2001,-118.4456,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,91405,ESTADOS UNIDOS
105631,PAX 105631,Verde [< 180 Días],34.2556,-118.4208,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,91331,ESTADOS UNIDOS
120570,PAX 120570,Verde [< 180 Días],33.9551,-118.2901,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90044,ESTADOS UNIDOS
121678,PAX 121678,Verde [< 180 Días],33.9769,-118.2161,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90255,ESTADOS UNIDOS
107752,PAX 107752,Verde [< 180 Días],34.0443,-117.9862,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,91746,ESTADOS UNIDOS
120130,PAX 120130,Verde [< 180 Días],33.7868,-117.7934,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,92869,ESTADOS UNIDOS
107054,PAX 107054,Verde [< 180 Días],34.1083,-117.2898,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,92402,ESTADOS UNIDOS
117068,PAX 117068,Verde [< 180 Días],32.5324308,-117.1148028,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22504,MEXICO
118998,PAX 118998,Verde [< 180 Días],32.5334308,-117.1138028,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22504,MEXICO
121745,PAX 121745,Verde [< 180 Días],32.5344308,-117.1128028,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22504,MEXICO
106094,PAX 106094,Verde [< 180 Días],32.46509195,-117.1108387,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22559,MEXICO
107890,PAX 107890,Verde [< 180 Días],32.48273087,-117.0769199,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22606,MEXICO
116175,PAX 116175,Verde [< 180 Días],32.48838737,-117.0740796,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,1005,MEXICO
106930,PAX 106930,Verde [< 180 Días],32.52444501,-117.064687,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22510,MEXICO
119116,PAX 119116,Verde [< 180 Días],32.52544501,-117.063687,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22510,MEXICO
119748,PAX 119748,Verde [< 180 Días],32.52644501,-117.062687,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22510,MEXICO
105781,PAX 105781,Verde [< 180 Días],32.50448747,-117.0664926,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22595,MEXICO
119175,PAX 119175,Verde [< 180 Días],32.52713027,-117.055214,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22054,MEXICO
117646,PAX 117646,Verde [< 180 Días],32.51247511,-117.0539127,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22615,MEXICO
117653,PAX 117653,Verde [< 180 Días],32.51347511,-117.0529127,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22615,MEXICO
105274,PAX 105274,Verde [< 180 Días],32.44000543,-117.0518421,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22564,MEXICO
112043,PAX 112043,Verde [< 180 Días],32.38636727,-117.0472753,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22707,MEXICO
107625,PAX 107625,Verde [< 180 Días],32.51801299,-117.0392051,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22056,MEXICO
120683,PAX 120683,Verde [< 180 Días],32.51901299,-117.0382051,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22056,MEXICO
105652,PAX 105652,Verde [< 180 Días],32.53276574,-117.0312541,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22000,MEXICO
107664,PAX 107664,Verde [< 180 Días],32.49170799,-117.0288802,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22626,MEXICO
116980,PAX 116980,Verde [< 180 Días],32.44778203,-117.0245248,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22666,MEXICO
116981,PAX 116981,Verde [< 180 Días],32.44878203,-117.0235248,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22666,MEXICO
118431,PAX 118431,Verde [< 180 Días],32.54182171,-117.0198554,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22300,MEXICO
109134,PAX 109134,Verde [< 180 Días],32.51707509,-117.0206462,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22044,MEXICO
119275,PAX 119275,Verde [< 180 Días],32.32578271,-117.0175013,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22710,MEXICO
118710,PAX 118710,Verde [< 180 Días],32.52754786,-117.0112061,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22015,MEXICO
117726,PAX 117726,Verde [< 180 Días],32.49151159,-117.0146009,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22263,MEXICO
106675,PAX 106675,Verde [< 180 Días],32.49432089,-117.0104643,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22620,MEXICO
107650,PAX 107650,Verde [< 180 Días],32.53632822,-117.0083784,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22400,MEXICO
107949,PAX 107949,Verde [< 180 Días],32.53732822,-117.0073784,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22400,MEXICO
117453,PAX 117453,Verde [< 180 Días],32.53832822,-117.0063784,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22400,MEXICO
107889,PAX 107889,Verde [< 180 Días],32.48399421,-117.0051019,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22670,MEXICO
108653,PAX 108653,Verde [< 180 Días],32.48234812,-116.9893788,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22640,MEXICO
116748,PAX 116748,Verde [< 180 Días],32.48334812,-116.9883788,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22640,MEXICO
117442,PAX 117442,Verde [< 180 Días],32.48434812,-116.9873788,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22640,MEXICO
120411,PAX 120411,Verde [< 180 Días],32.48534812,-116.9863788,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22640,MEXICO
109030,PAX 109030,Verde [< 180 Días],32.44986923,-116.9910358,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22644,MEXICO
120502,PAX 120502,Verde [< 180 Días],32.46202216,-116.985866,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,22643,MEXICO
107782,PAX 107782,Verde [< 180 Días],32.484582,-116.9733935,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,22190,MEXICO
