id,nombre,concat,edo,mun,latitude,longitude,tipo
100,BA MEGA DF LA LUNA,100 - BA MEGA DF LA LUNA,Ciudad de México,Coyoacán,19.298221,-99.151968,Banco Azteca
107,BA EKT AZCAPOTZALCO,107 - BA EKT AZCAPOTZALCO,Ciudad de México,Azcapotzalco,19.48195,-99.183975,Banco Azteca
110,BA MEGA ALTAMIRA,110 - BA MEGA ALTAMIRA,Tamaulipas,Altamira,22.393747,-97.936155,Banco Azteca
114,BA MEGA EMPALME,114 - BA MEGA EMPALME,Sonora,Empalme,27.958351,-110.814655,Banco Azteca
116,BA EKT CD JUAREZ TORRES,116 - BA EKT CD JUAREZ TORRES,Chihuahua,Juárez,31.640019,-106.389978,Banco Azteca
118,BA EKT VILLAS DE HACIENDA,118 - BA EKT VILLAS DE HACIENDA,México,Atizapán de Zaragoza,19.605521,-99.229139,Banco Azteca
120,BA MEGA TIJUANA OTAY,120 - BA MEGA TIJUANA OTAY,Baja California,Tijuana,32.535952,-116.932236,Banco Azteca
121,BA EKT M CULIACAN CLOUTHIER,121 - BA EKT M CULIACAN CLOUTHIER,Sinaloa,Culiacán,24.789909,-107.425794,Banco Azteca
127,BA MEGA TIJUANA LAS TORRES,127 - BA MEGA TIJUANA LAS TORRES,Baja California,Tijuana,32.477984,-116.875817,Banco Azteca
128,BA MEGA GDL GOB CURIEL,128 - BA MEGA GDL GOB CURIEL,Jalisco,Guadalajara,20.621457,-103.345929,Banco Azteca
137,BA MEGA P XONACATEPEC,137 - BA MEGA P XONACATEPEC,Puebla,Puebla,19.052313,-98.148882,Banco Azteca
144,BA MEGA CD JUAREZ AZT,144 - BA MEGA CD JUAREZ AZT,Chihuahua,Juárez,31.662856,-106.471654,Banco Azteca
148,BA EKT M MTY SOLIDARIDAD,148 - BA EKT M MTY SOLIDARIDAD,Nuevo León,Monterrey,25.778488,-100.385323,Banco Azteca
150,BA SYR NUEVO LAREDO REFORMA,150 - BA SYR NUEVO LAREDO REFORMA,Tamaulipas,Nuevo Laredo,27.460263,-99.512695,Banco Azteca
151,BA MEGA SLP HIDALGO,151 - BA MEGA SLP HIDALGO,San Luis Potosí,San Luis Potosí,22.156293,-100.976887,Banco Azteca
153,BA MEGA ORIZABA COLON,153 - BA MEGA ORIZABA COLON,Veracruz de Ignacio de la Llave,Orizaba,18.848648,-97.104137,Banco Azteca
162,BA MEGA SALAMANCA HIDALGO,162 - BA MEGA SALAMANCA HIDALGO,Guanajuato,Salamanca,20.569485,-101.196418,Banco Azteca
165,BA MEGA MIXCOAC STA LUCIA,165 - BA MEGA MIXCOAC STA LUCIA,Ciudad de México,Álvaro Obregón,19.372643,-99.207927,Banco Azteca
